plate,well,sex,eclosion date,note,eclosion_status
3,B1,f,12/02/2022,,eclosed
3,B2,m,12/02/2022,,eclosed
3,B3,m,12/02/2022,,eclosed
3,B4,m,12/02/2022,,eclosed
3,B5,m,12/02/2022,escaped later into well B6,eclosed
3,B6,,,fly but not eclosed,not_eclosed
3,B7,,,escaped but eclosed,n/a
3,B8,f,11/02/2022,,eclosed
3,B9,m,12/02/2022,,eclosed
3,B10,f,12/02/2022,,eclosed
3,B11,f,11/02/2022,,eclosed
3,B12,f,13/02/2022,,eclosed
3,C1,f,13/02/2022,,eclosed
3,C2,f,13/02/2022,,eclosed
3,C3,m,13/02/2022,,eclosed
3,C4,m,14/02/2022,,eclosed
3,C5,f,13/02/2022,,eclosed
3,C6,f,12/02/2022,,eclosed
3,C7,m,13/02/2022,,eclosed
3,C8,m,12/02/2022,,eclosed
3,C9,m,11/02/2022,2 in at end,eclosed
3,C10,m,12/02/2022,,eclosed
3,C11,,,get rid - 2 in m+f 12/02/22,n/a
3,C12,m,12/02/2022,,eclosed
3,D1,,,escaped but eclosed,n/a
3,D2,,,escaped but eclosed,n/a
3,D3,,,,not_eclosed
3,D4,f,11/02/2022,,eclosed
3,D5,,,escaped but eclosed,n/a
3,D6,m,11/02/2022,,eclosed
3,D7,m,10/02/2022,,eclosed
3,D8,,,escaped but eclosed,n/a
3,D9,f,11/02/2022,,eclosed
3,D10,,,,not_eclosed
3,D11,m,10/02/2022,,eclosed
3,D12,f,13/02/2022,,eclosed
3,E1,f,11/02/2022,,eclosed
3,E2,f,12/02/2022,,eclosed
3,E3,,,,not_eclosed
3,E4,f,12/02/2022,,eclosed
3,E5,f,13/02/2022,,eclosed
3,E6,f,16/02/2022,,eclosed
3,E7,m,12/02/2022,,eclosed
3,E8,,,,not_eclosed
3,E9,f,12/02/2022,,eclosed
3,E10,,,escaped but eclosed ,n/a
3,E11,f,11/02/2022,,eclosed
3,E12,m,11/02/2022,,eclosed
3,F1,m,15/02/2022,,eclosed
3,F2,m,16/02/2022,,eclosed
3,F3,,,escpaed but eclosed,n/a
3,F4,,,escpaed but eclosed,n/a
3,F5,f,11/02/2022,2 in at end,eclosed
3,F6,f,12/02/2022,,eclosed
3,F7,f,11/02/2022,,eclosed
3,F8,m,12/02/2022,,eclosed
3,F9,,,,not_eclosed
3,F10,,,,not_eclosed
3,F11,m,12/02/2022,,eclosed
3,F12,m,12/02/2022,,eclosed
3,G1,f,11/02/2022,,eclosed
3,G2,m,11/02/2022,,eclosed
3,G3,,,escpaed but eclosed,n/a
3,G4,m,10/02/2022,2 in at end,eclosed
3,G5,,,,not_eclosed
3,G6,f,13/02/2022,,eclosed
3,G7,m,10/02/2022,,eclosed
3,G8,m,10/02/2022,,eclosed
3,G9,f,12/02/2022,,eclosed
3,G10,m,12/02/2022,,eclosed
3,G11,f,12/02/2022,,eclosed
3,G12,m,11/02/2022,,eclosed
3,H1,m,11/02/2022,,eclosed
3,H2,f,12/02/2022,,eclosed
3,H3,f,12/02/2022,,eclosed
3,H4,f,13/02/2022,,eclosed
3,H5,,,,not_eclosed
3,H6,m,11/02/2022,,eclosed
3,H7,f,12/02/2022,,eclosed
3,H8,f,13/02/2022,,eclosed
3,H9,m,11/02/2022,,eclosed
3,H10,m,12/02/2022,,eclosed
3,H11,f,11/02/2022,,eclosed
3,H12,f,12/02/2022,,eclosed
